pub_date,author,bias,citation according to google scholar,specific_topic,hed_main,link,abstract,grouping,type,annotation,anno_title
2002_11_01,"Makela A, et al.",,186,mmr,Neurologic disorders after measles-mumps-rubella vaccination.,https://pediatrics.aappublications.org/content/110/5/957,"Objective. The possibility of adverse neurologic events has fueled much concern about the safety of measles-mumps-rubella (MMR) vaccinations. The available evidence concerning several of the postulated complications is controversial. The aim of this study was to assess whether an association prevails between MMR vaccination and encephalitis, aseptic meningitis, and autism. Methods. A retrospective study based on linkage of individual MMR vaccination data with a hospital discharge register was conducted among 535 544 1- to 7-year-old children who were vaccinated between November 1982 and June 1986 in Finland. For encephalitis and aseptic meningitis, the numbers of events observed within a 3-month risk interval after vaccination were compared with the expected numbers estimated on the basis of occurrence of encephalitis and aseptic meningitis during the subsequent 3-month intervals. Changes in the overall number of hospitalizations for autism after vaccination throughout the study period were searched for. In addition, hospitalizations because of inflammatory bowel diseases were checked for the children with autism. Results. Of the 535 544 children who were vaccinated, 199 were hospitalized for encephalitis, 161 for aseptic meningitis, and 352 for autistic disorders. In 9 children with encephalitis and 10 with meningitis, the disease developed within 3 months of vaccination, revealing no increased occurrence within this designated risk period. We detected no clustering of hospitalizations for autism after vaccination. None of the autistic children made hospital visits for inflammatory bowel diseases. Conclusions. We did not identify any association between MMR vaccination and encephalitis, aseptic meningitis, or autism.",aap_cochrane,paper,,
2002_11_07,"Madsen KM, et al.",,819,mmr,"A population-based study of measles, mumps, and rubella vaccination and autism.",https://www.nejm.org/doi/full/10.1056/NEJMoa021134,"BACKGROUND It has been suggested that vaccination against measles, mumps, and rubella (MMR) is a cause of autism. METHODS We conducted a retrospective cohort study of all children born in Denmark from January 1991 through December 1998. The cohort was selected on the basis of data from the Danish Civil Registration System, which assigns a unique identification number to every live-born infant and new resident in Denmark. MMR-vaccination status was obtained from the Danish National Board of Health. Information on the children's autism status was obtained from the Danish Psychiatric Central Register, which contains information on all diagnoses received by patients in psychiatric hospitals and outpatient clinics in Denmark. We obtained information on potential confounders from the Danish Medical Birth Registry, the National Hospital Registry, and Statistics Denmark. RESULTS Of the 537,303 children in the cohort (representing 2,129,864 person-years), 440,655 (82.0 percent) had received the MMR vaccine. We identified 316 children with a diagnosis of autistic disorder and 422 with a diagnosis of other autistic-spectrum disorders. After adjustment for potential confounders, the relative risk of autistic disorder in the group of vaccinated children, as compared with the unvaccinated group, was 0.92 (95 percent confidence interval, 0.68 to 1.24), and the relative risk of another autistic-spectrum disorder was 0.83 (95 percent confidence interval, 0.65 to 1.07). There was no association between the age at the time of vaccination, the time since vaccination, or the date of vaccination and the development of autistic disorder. CONCLUSIONS This study provides strong evidence against the hypothesis that MMR vaccination causes autism.",aap_cochrane,paper,,
2003_07_22,"Lingam R, et al.",,147,mmr,Prevalence of autism and parentally reported triggers in a north east London population,https://adc.bmj.com/content/88/8/666,"Background: The recorded prevalence of autistic spectrum disorders has risen over recent decades. Measles, mumps and rubella (MMR) vaccine has been blamed, by causing a “new variant” form of “regressive autism” associated with “autistic enterocolitis”. Aims: To estimate the prevalence of autism and to assess any changes in parental perception regarding the onset or causes of autism. Methods and Results: A total of 567 children with autistic spectrum disorder in five districts in north east London were identified, born 1979–98. Reported autism, excluding the 94 cases of Asperger’s syndrome, increased by year of birth until 1992, since when prevalence has plateaued. This flattening off persisted after allowing for expected delay in diagnosis in more recent birth cohorts. The age at diagnosis of autistic spectrum disorder was estimated to have decreased per five year period since 1983, by 8.7% for childhood autism and by 11.0% for atypical autism. There was some evidence that MMR was more likely to be mentioned as a trigger after August 1997 than before. Conclusions: The prevalence of autism, which was apparently rising from 1979 to 1992, reached a plateau from 1992 to 1996 at a rate of some 2.6 per 1000 live births. This levelling off, together with the reducing age at diagnosis, suggests that the earlier recorded rise in prevalence was not a real increase but was likely due to factors such as increased recognition, a greater willingness on the part of educationalists and families to accept the diagnostic label, and better recording systems. The proportion of parents attributing their child’s autism to MMR appears to have increased since August 1997.",aap,paper,,
2004_02_22,Brian Deer,,,,Revealed: MMR research scandal,https://briandeer.com/mmr/lancet-deer-1.htm,"FULL details are disclosed today of the four-month Sunday Times investigation that has uncovered a medical scandal at the heart of the worldwide scare over MMR. Andrew Wakefield, the doctor who champions the alleged link between measles, mumps and rubella vaccine and autism in young children, stands discredited for misleading his medical colleagues and The Lancet, the professional journal that published his findings. The investigation has found that when he warned parents to avoid MMR, and published research claiming a link with autism, he did not disclose he was being funded through solicitors seeking evidence to use against vaccine manufacturers. The Lancet said yesterday that The Sunday Times’s evidence meant that the finding linking MMR and autism was “entirely flawed” and should never have been published. Last night, John Reid, the health secretary, called for an inquiry by the General Medical Council (GMC) “as a matter of urgency”. Evan Harris, a Liberal Democrat MP who sits on the British Medical Association’s ethics committee, said the GMC had inadequate powers and pressed the government for a full independent inquiry. After reviewing The Sunday Times’s findings, Richard Horton, the editor of The Lancet, said he should never have published Wakefield’s article linking MMR to autism. It was “fatally” flawed. Wakefield was not contactable yesterday, but he said last week when confronted with the investigation findings that he was unrepentant. He denied misleading his colleagues or The Lancet. The scandal arises from the journal’s publication in February 1998 of a scientific report on the “findings” in the cases of 12 autistic children, apparently admitted routinely to the Royal Free hospital in north London in 1996-97. Wakefield was the lead author of the report. He wrote that the parents of eight of the 12 children blamed MMR: they said symptoms of autism had set in within days of vaccination. The Sunday Times has now established that four, probably five, of these children were covered by the legal aid study. And Wakefield himself had been awarded up to £55,000 to assist their case by finding scientific evidence of the link.",aap_cochrane,paper,"In February 2004, journalist Brian Deer dropped a bombshell: Wakefield—the researcher at the forefront of these claims—had accepted 55,000 GBP from lawyers seeking evidence against vaccine manufacturers. Several parents whose children Wakefield included in his study were also plaintiffs. In science, this what we call a “conflict of interest,” and Wakefield didn’t tell The Lancet this when he published his study. This, in science, is what we call a big no-no. Of Wakefield’s 12 co-authors, 10 repudiated the final conclusion of their paper.
",Unethical research
2004_09_11,"Smeeth L, et al.",,265,mmr,MMR Vaccination and Pervasive Developmental Disorders: A CaseControl Study ,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(04)17020-7/fulltext,"Background: Concern that measles-mumps-rubella (MMR) vaccination might cause autism has led to a fall in vaccine coverage. We investigated whether MMR vaccination is associated with an increased risk of autism or other pervasive developmental disorders. Methods: We did a matched case-control study using the UK General Practice Research Database. Cases were people born in 1973 or later who had first recorded diagnosis of pervasive developmental disorder while registered with a contributing general practice between 1987 and 2001. Controls were matched on age, sex, and general practice. Findings: 1294 cases and 4469 controls were included. 1010 cases (78·1%) had MMR vaccination recorded before diagnosis, compared with 3671 controls (82·1%) before the age at which their matched case was diagnosed. After adjustment for age at joining the database, the odds ratio for association between MMR and pervasive developmental disorder was 0·86 (95% CI 0·68–1·09). Findings were similar when restricted to children with a diagnosis of autism, to those vaccinated with MMR before the third birthday, or to the period before media coverage of the hypothesis linking MMR with autism. Interpretation: Our findings suggest that MMR vaccination is not associated with an increased risk of pervasive developmental disorders.",aap_cochrane,paper,,
2004_01_30,DeStefano F et al.,,164,mmr,Age at First Measles-Mumps-Rubella Vaccination in Children With Autism and School-Matched Control Subjects: A Population-Based Study in Metropolitan Atlanta,https://pediatrics.aappublications.org/content/113/2/259.abstract?sso=1&sso_redirect_count=1&nfstatus=401&nftoken=00000000-0000-0000-0000-000000000000&nfstatusdescription=ERROR%3a+No+local+token,"Objective. To compare ages at first measles-mumps-rubella (MMR) vaccination between children with autism and children who did not have autism in the total population and in selected subgroups, including children with regression in development. Methods. A case-control study was conducted in metropolitan Atlanta. Case children (N = 624) were identified from multiple sources and matched to control children (N = 1824) on age, gender, and school. Vaccination data were abstracted from immunization forms required for school entry. Records of children who were born in Georgia were linked to Georgia birth certificates for information on maternal and birth factors. Conditional logistic regression was used to estimate odds ratios (ORs). Results. The overall distribution of ages at MMR vaccination among children with autism was similar to that of matched control children; most case (70.5%) and control children (67.5%) were vaccinated between 12 and 17 months of age. Similar proportions of case and control children had been vaccinated before 18 or before 24 months. No significant associations for either of these age cutoffs were found for specific case subgroups, including those with evidence of developmental regression. More case (93.4%) than control children (90.6%) were vaccinated before 36 months (OR: 1.49; 95% confidence interval: 1.04–2.14 in the total sample; OR: 1.23; 95% confidence interval: 0.64–2.36 in the birth certificate sample). This association was strongest in the 3- to 5-year age group. Conclusions. Similar proportions of case and control children were vaccinated by the recommended age or shortly after (ie, before 18 months) and before the age by which atypical development is usually recognized in children with autism (ie, 24 months). Vaccination before 36 months was more common among case children than control children, especially among children 3 to 5 years of age, likely reflecting immunization requirements for enrollment in early intervention programs.",aap_cochrane,paper,,
2004_06_30,"Chen W, et al.",,106,mmr,"No evidence for links between autism, MMR and measles virus.",https://www.researchgate.net/publication/8449458_No_evidence_for_links_between_autism_MMR_and_measles_Virus,"We examined whether, in the UK, there is an increased risk of autism (AD) following exposures, in early life, to: (1) wild measles; (2) live attenuated measles, alone or in combination as MMR; and (3) the alteration of the mumps strain within MMR. We conducted time trend analyses of 2407 AD subjects born between 1959-93; and for comparison, 4640 Down's syndrome (DS) subjects born between 1966-93. Between 1968-86, we correlated variations in AD and DS births with wild measles incidence. Between 1959-93, we tested for abrupt changes in the long-term AD birth trend for the effects of introducing: (1) monovalent measles vaccines in 1968; (2) MMR immunization in 1988; and (3) the 'overnight switch' from mixed use of Urabe MMR to exclusive use of Jeryl-Lynn MMR in 1992. Incidence rate ratios (IRRs) were used as measures of association. We found no significant association between AD births and exposure (prenatal and postnatal up to 18 months age) to population rates of measles infections, and no 'step-up' increase in AD births associated with the introduction of monovalent measles and MMR vaccines, and changing mumps strain. An unexpected reduction in AD births of 21% (95% CI 6.9-33.3%; P=0.005) among the post-1987 birth cohorts was detected. No increased risk of AD following exposures to wild measles and vaccinations with monovalent measles, and Urabe or Jeryl-Lynn variants of MMR was detected. The precise meaning of the detected AD births reduction is unclear. Our study cannot exclude rare complications of MMR, given its correlational design.",aap,paper,,
2005_02_18,"Honda H, et al.,",,393,mmr,No effect of MMR withdrawal on the incidence of autism: a total population study.,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1469-7610.2005.01425.x,"Background: A causal relationship between the measles, mumps, and rubella (MMR) vaccine and occurrence of autism spectrum disorders (ASD) has been claimed, based on an increase in ASD in the USA and the UK after introduction of the MMR vaccine. However, the possibility that this increase is coincidental has not been eliminated. The unique circumstances of a Japanese MMR vaccination program provide an opportunity for comparison of ASD incidence before and after termination of the program. Methods: This study examined cumulative incidence of ASD up to age seven for children born from 1988 to 1996 in Kohoku Ward (population approximately 300,000), Yokohama, Japan. ASD cases included all cases of pervasive developmental disorders according to ICD‐10 guidelines. Results: The MMR vaccination rate in the city of Yokohama declined significantly in the birth cohorts of years 1988 through 1992, and not a single vaccination was administered in 1993 or thereafter. In contrast, cumulative incidence of ASD up to age seven increased significantly in the birth cohorts of years 1988 through 1996 and most notably rose dramatically beginning with the birth cohort of 1993. Conclusions: The significance of this finding is that MMR vaccination is most unlikely to be a main cause of ASD, that it cannot explain the rise over time in the incidence of ASD, and that withdrawal of MMR in countries where it is still being used cannot be expected to lead to a reduction in the incidence of ASD.",aap_cochrane,paper,,
2004_08_30,Institute of Medicine,,97,mmr,Immunization Safety Review Vaccines and Autism,https://www.nap.edu/catalog/10997/immunization-safety-review-vaccines-and-autism#description,"This eighth and final report of the Immunization Safety Review Committee examines the hypothesis that vaccines, specifically the measles-mumps-rubella (MMR) vaccine and thimerosal-containing vaccines, are causally associated with autism. The committee reviewed the extant published and unpublished epidemiological studies regarding causality and studies of potential biologic mechanisms by which these immunizations might cause autism. Immunization Safety Review: Vaccines and Autism finds that the body of epidemiological evidence favors rejection of a causal relationship between thimerosal-containing vaccines and autism. The book further finds that potential biological mechanisms for vaccine-induced autism that have been generated to date are only theoretical. It recommends a public health response that fully supports an array of vaccine safety activities and recommends that available funding for autism research be channeled to the most promising areas. The book makes additional recommendations regarding surveillance and epidemiological research, clinical studies, and communication related to these vaccine safety concerns.",aap,paper,,
2004_06_01,"Klein KC, Diehl EB.",,24,mmr,Relationship between MMR vaccine and autism.,https://www.researchgate.net/publication/8532381_Relationship_Between_MMR_Vaccine_and_Autism,"To evaluate the proposed link between the administration of the measles, mumps, and rubella (MMR) vaccine and the development of autism. A literature search utilizing MEDLINE (1966-November 2003), with the key terms measles, mumps, rubella, and autism, was conducted. Review of the references listed in the articles identified was also performed. Ten articles that specifically evaluated the possible relationship between the MMR vaccine and autism were identified. Review articles, commentaries, and evaluations of a link between gastrointestinal symptoms in autistic children and MMR immunization were excluded. Based upon the current literature, it appears that there is no relationship between MMR vaccination and the development of autism.",aap,paper,,
